rank_by_latest_stars,repository,url,primary_language,latest_license,first_seen_week,last_seen_week,weeks_observed,latest_stars,first_observed_stars,observed_star_change,max_forks_observed,seen_in_trending,seen_in_new,top_topics
1,openclaw/openclaw,https://github.com/openclaw/openclaw,TypeScript,NOASSERTION,2026-W21,2026-W31,11,384251,372819,11432,80730,true,false,ai|assistant|crustacean|molty|openclaw|own-your-data|personal
2,obra/superpowers,https://github.com/obra/superpowers,Shell,MIT,2026-W26,2026-W31,6,261658,235251,26407,23364,true,false,ai|brainstorming|coding|obra|sdlc|skills|subagent-driven-development|superpowers
3,affaan-m/ECC,https://github.com/affaan-m/ECC,JavaScript,MIT,2026-W22,2026-W31,10,233714,191484,42230,35624,true,false,ai-agents|anthropic|claude|claude-code|developer-tools|llm|mcp|productivity
4,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python,MIT,2026-W21,2026-W31,11,221006,155505,65501,42148,true,false,ai|ai-agent|ai-agents|anthropic|chatgpt|claude|claude-code|clawdbot
5,n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript,NOASSERTION,2026-W21,2026-W31,11,198137,188473,9664,59655,true,false,ai|apis|automation|cli|data-flow|development|integration-framework|integrations
6,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,Apache-2.0,2026-W21,2026-W31,11,196557,195142,1415,75601,true,false,deep-learning|deep-neural-networks|distributed|machine-learning|ml|neural-network|python|tensorflow
7,anomalyco/opencode,https://github.com/anomalyco/opencode,TypeScript,MIT,2026-W21,2026-W31,11,189992,161919,28073,24090,true,false,
8,mattpocock/skills,https://github.com/mattpocock/skills,Shell,MIT,2026-W21,2026-W31,11,189901,90287,99614,16311,true,false,
9,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,JavaScript,MIT,2026-W21,2026-W21,1,186048,186048,0,28790,true,false,ai-agents|anthropic|claude|claude-code|developer-tools|llm|mcp|productivity
10,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Python,NOASSERTION,2026-W21,2026-W31,11,185703,184389,1314,46230,true,false,agentic-ai|agents|ai|artificial-intelligence|autonomous-agents|claude|gpt|llama-api
11,ollama/ollama,https://github.com/ollama/ollama,Go,MIT,2026-W21,2026-W31,11,176953,171669,5284,17124,true,false,deepseek|gemma|gemma3|glm|go|golang|gpt-oss|llama
12,microsoft/markitdown,https://github.com/microsoft/markitdown,Python,MIT,2026-W22,2026-W31,6,169250,125043,44207,12238,true,false,autogen|autogen-extension|langchain|markdown|microsoft-office|openai|pdf
13,f/prompts.chat,https://github.com/f/prompts.chat,HTML,NOASSERTION,2026-W21,2026-W31,11,166403,162444,3959,21496,true,false,ai|artificial-intelligence|awesome-list|chatgpt|chatgpt-prompts|claude|gemini|gpt
14,anthropics/skills,https://github.com/anthropics/skills,Python,,2026-W21,2026-W31,9,164377,136628,27749,19529,true,false,agent-skills
15,huggingface/transformers,https://github.com/huggingface/transformers,Python,Apache-2.0,2026-W21,2026-W31,11,163015,160712,2303,34026,true,false,audio|deep-learning|deepseek|gemma|glm|hacktoberfest|llm|machine-learning
16,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,JavaScript,Apache-2.0,2026-W22,2026-W31,8,157321,155863,1458,46185,true,false,agent|ai|context-engineering|deepseek|interview|java|mcp|mysql
17,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,TypeScript,AGPL-3.0,2026-W21,2026-W31,11,156529,121183,35346,8901,true,false,ai|ai-agents|ai-crawler|ai-scraping|ai-search|crawler|data-extraction|html-to-markdown
18,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Python,MIT,2026-W21,2026-W31,11,152450,148421,4029,9663,true,false,agents|chatgpt|generative-ai|large-language-models|multiagent|react-flow
